standard_code,course_name,course_code,grade_band,standard_text,framework_version,notes
130.302-c1A,Principles of Information Technology,130.302,HS,"identify and demonstrate work behaviors and qualities that enhance employability and job advancement such as regular attendance, attention to proper attire, maintenance of a clean and safe work environment, pride in work, flexibility, and initiative",2015 Adopted,
130.302-c1B,Principles of Information Technology,130.302,HS,employ effective verbal and nonverbal communication skills,2015 Adopted,
130.302-c1C,Principles of Information Technology,130.302,HS,employ effective reading and writing skills,2015 Adopted,
130.302-c1D,Principles of Information Technology,130.302,HS,solve problems and think critically,2015 Adopted,
130.302-c1E,Principles of Information Technology,130.302,HS,demonstrate leadership skills and function effectively as a team member,2015 Adopted,
130.302-c1F,Principles of Information Technology,130.302,HS,identify and implement proper safety procedures,2015 Adopted,
130.302-c1G,Principles of Information Technology,130.302,HS,"demonstrate planning and time-management skills such as storyboarding and project management, including initiating, planning, executing, monitoring and controlling, and closing a project",2015 Adopted,
130.302-c2A,Principles of Information Technology,130.302,HS,identify job opportunities and accompanying job duties and tasks,2015 Adopted,Employment Opportunities
130.302-c2B,Principles of Information Technology,130.302,HS,"research careers of personal interest along with the education, job skills, and experience required to achieve personal career goals",2015 Adopted,Employment Opportunities
130.302-c2C,Principles of Information Technology,130.302,HS,describe the functions of resumes and portfolios,2015 Adopted,Employment Opportunities
130.302-c3A,Principles of Information Technology,130.302,HS,identify and describe functions of various evolving and emerging technologies,2015 Adopted,Evolving and Emerging Technologies
130.302-c3B,Principles of Information Technology,130.302,HS,"send and receive text information and file attachments using electronic methods such as email, electronic bulletin boards, and instant message services",2015 Adopted,Evolving and Emerging Technologies
130.302-c3C,Principles of Information Technology,130.302,HS,"demonstrate effective Internet search strategies, including keywords and Boolean logic, using various available search engines",2015 Adopted,Evolving and Emerging Technologies
130.302-c3D,Principles of Information Technology,130.302,HS,identify the various components of a Uniform Resource Locator,2015 Adopted,Evolving and Emerging Technologies
130.302-c3E,Principles of Information Technology,130.302,HS,"demonstrate ability to effectively test acquired information from the Internet for accuracy, relevance, and validity",2015 Adopted,Evolving and Emerging Technologies
130.302-c3F,Principles of Information Technology,130.302,HS,"explain issues concerning computer-based threats such as computer viruses, malware, and hacking",2015 Adopted,Evolving and Emerging Technologies
130.302-c3G,Principles of Information Technology,130.302,HS,"explain issues concerning Internet safety such as identity theft, online predators, cyber-bullying, and phishing",2015 Adopted,Evolving and Emerging Technologies
130.302-c4A,Principles of Information Technology,130.302,HS,identify major hardware components and their functions,2015 Adopted,Hardware Components
130.302-c4B,Principles of Information Technology,130.302,HS,use available reference tools as appropriate,2015 Adopted,Hardware Components
130.302-c4C,Principles of Information Technology,130.302,HS,"connect and use a variety of peripheral devices such as mouse, keyboard, microphone, digital camera, and printer",2015 Adopted,Hardware Components
130.302-c5A,Principles of Information Technology,130.302,HS,differentiate between systems and application software,2015 Adopted,Software Knowledge
130.302-c5B,Principles of Information Technology,130.302,HS,"identify and explain major operating system fundamentals and components such as disk operations, graphical user interface components, and hardware drivers",2015 Adopted,Software Knowledge
130.302-c5C,Principles of Information Technology,130.302,HS,explain the purpose of file types across software products,2015 Adopted,Software Knowledge
130.302-c5D,Principles of Information Technology,130.302,HS,"demonstrate use of computer numbering systems and internal data representation such as identifying the hexadecimal value of a color",2015 Adopted,Software Knowledge
130.302-c5E,Principles of Information Technology,130.302,HS,compare and contrast open source and proprietary software,2015 Adopted,Software Knowledge
130.302-c5F,Principles of Information Technology,130.302,HS,explain use of system management tools,2015 Adopted,Software Knowledge
130.302-c5G,Principles of Information Technology,130.302,HS,"apply proper file management techniques such as creating, naming, organizing, copying, moving, and deleting files",2015 Adopted,Software Knowledge
130.302-c5H,Principles of Information Technology,130.302,HS,use appropriate file protection and security,2015 Adopted,Software Knowledge
130.302-c5I,Principles of Information Technology,130.302,HS,"explain the process for discovering, quarantining, and removing viruses from a computer system",2015 Adopted,Software Knowledge
130.302-c6A,Principles of Information Technology,130.302,HS,"identify hardware associated with telecommunications and data networking such as servers, routers, switches, and network connectors",2015 Adopted,Network Systems Analysis
130.302-c6B,Principles of Information Technology,130.302,HS,"identify and describe various types of networks such as peer-to-peer, local area networks, wide area networks, wireless, and Ethernet",2015 Adopted,Network Systems Analysis
130.302-c6C,Principles of Information Technology,130.302,HS,identify functions of network operating systems,2015 Adopted,Network Systems Analysis
130.302-c6D,Principles of Information Technology,130.302,HS,explain troubleshooting techniques for various network connection issues,2015 Adopted,Network Systems Analysis
130.302-c7A,Principles of Information Technology,130.302,HS,identify the terminology associated with word-processing software,2015 Adopted,Word Processing Technology
130.302-c7B,Principles of Information Technology,130.302,HS,"edit a variety of text documents using functions such as pagination, appropriate white space, tab settings, and font style, size, and color",2015 Adopted,Word Processing Technology
130.302-c7C,Principles of Information Technology,130.302,HS,"create professional documents such as memorandums, technical manuals, or proposals using advanced word-processing features",2015 Adopted,Word Processing Technology
130.302-c8A,Principles of Information Technology,130.302,HS,identify the terminology associated with spreadsheet software,2015 Adopted,Spreadsheet Technology
130.302-c8B,Principles of Information Technology,130.302,HS,use numerical content to perform mathematical calculations,2015 Adopted,Spreadsheet Technology
130.302-c8C,Principles of Information Technology,130.302,HS,"use student-created and preprogrammed functions to produce documents such as budget, payroll, statistical tables, and personal checkbook register",2015 Adopted,Spreadsheet Technology
130.302-c8D,Principles of Information Technology,130.302,HS,identify and generate and describe the function of comma separated value files,2015 Adopted,Spreadsheet Technology
130.302-c8E,Principles of Information Technology,130.302,HS,"create and analyze spreadsheets incorporating advanced features such as lookup tables, nested IF statements, subtotals, cell protection, conditional formatting, charts, and graphs",2015 Adopted,Spreadsheet Technology
130.302-c8F,Principles of Information Technology,130.302,HS,"perform sorting, searching, and data filtering in documents",2015 Adopted,Spreadsheet Technology
130.302-c9A,Principles of Information Technology,130.302,HS,identify the function of compilers and interpreters,2015 Adopted,Computer Programming Concepts
130.302-c9B,Principles of Information Technology,130.302,HS,explain the difference between the operation of compilers and interpreters,2015 Adopted,Computer Programming Concepts
130.302-c9C,Principles of Information Technology,130.302,HS,identify various computer languages and how the languages are used in software development,2015 Adopted,Computer Programming Concepts
130.302-c9D,Principles of Information Technology,130.302,HS,"recognize data representation in software development such as string, numeric, character, integer, and date",2015 Adopted,Computer Programming Concepts
130.302-c9E,Principles of Information Technology,130.302,HS,identify and explain the concept of algorithms,2015 Adopted,Computer Programming Concepts
130.302-c9F,Principles of Information Technology,130.302,HS,"describe the flow of a structured algorithm, including linear and iterative instructions such as using a flow chart",2015 Adopted,Computer Programming Concepts
130.302-c10A,Principles of Information Technology,130.302,HS,identify the terminology associated with database software and database functions,2015 Adopted,Database Technology
130.302-c10B,Principles of Information Technology,130.302,HS,explore the application of databases,2015 Adopted,Database Technology
130.302-c10C,Principles of Information Technology,130.302,HS,identify and explain the purpose and elements of a query language,2015 Adopted,Database Technology
130.302-c10D,Principles of Information Technology,130.302,HS,identify and explain the purpose of fields and records,2015 Adopted,Database Technology
130.302-c10E,Principles of Information Technology,130.302,HS,"describe the process of constructing a query, including multiple search parameters",2015 Adopted,Database Technology
130.302-c11A,Principles of Information Technology,130.302,HS,identify the terminology and functions of presentation software,2015 Adopted,Presentation Management Technology
130.302-c11B,Principles of Information Technology,130.302,HS,"create, save, edit, and produce presentations incorporating advanced features such as links, hyperlinks, audio, and graphics",2015 Adopted,Presentation Management Technology
130.302-c12A,Principles of Information Technology,130.302,HS,identify the terminology associated with web page development and interactive media,2015 Adopted,Design and Web Publishing Techniques
130.302-c12B,Principles of Information Technology,130.302,HS,"identify and explain design elements such as typeface, color, shape, texture, space, and form",2015 Adopted,Design and Web Publishing Techniques
130.302-c12C,Principles of Information Technology,130.302,HS,"identify and explain design principles such as unity, harmony, balance, scale, and contrast",2015 Adopted,Design and Web Publishing Techniques
130.302-c12D,Principles of Information Technology,130.302,HS,"identify and explain common elements of Hyper Text Markup Language (HTML) such as tags, stylesheets, and hyperlinks",2015 Adopted,Design and Web Publishing Techniques
130.302-c12E,Principles of Information Technology,130.302,HS,"create a web page containing links, graphics, and text using appropriate design principles",2015 Adopted,Design and Web Publishing Techniques
130.302-c13A,Principles of Information Technology,130.302,HS,explain and demonstrate ethical use of technology and online resources,2015 Adopted,Legal and Ethical Procedures
130.302-c13B,Principles of Information Technology,130.302,HS,adhere to intellectual property laws,2015 Adopted,Legal and Ethical Procedures
130.302-c13C,Principles of Information Technology,130.302,HS,"explain the concept of intellectual property laws, including copyright, trademarks, and patents and consequences of violating each type of law",2015 Adopted,Legal and Ethical Procedures
130.302-c13D,Principles of Information Technology,130.302,HS,examine the consequences of plagiarism,2015 Adopted,Legal and Ethical Procedures
130.302-c13E,Principles of Information Technology,130.302,HS,"identify and explain unethical practices such as hacking, online piracy, and data vandalism",2015 Adopted,Legal and Ethical Procedures
130.302-c13F,Principles of Information Technology,130.302,HS,"demonstrate ethical use of online resources, including citation of source",2015 Adopted,Legal and Ethical Procedures
130.303-c1A,Computer Maintenance,130.303,HS,employ effective reading and writing skills,2015 Adopted,Professional Standards
130.303-c1B,Computer Maintenance,130.303,HS,employ effective verbal and nonverbal communication skills,2015 Adopted,Professional Standards
130.303-c1C,Computer Maintenance,130.303,HS,solve problems and think critically,2015 Adopted,Professional Standards
130.303-c1D,Computer Maintenance,130.303,HS,demonstrate leadership skills and function effectively as a team member,2015 Adopted,Professional Standards
130.303-c1E,Computer Maintenance,130.303,HS,identify and implement proper safety procedures,2015 Adopted,Professional Standards
130.303-c1F,Computer Maintenance,130.303,HS,demonstrate an understanding of legal and ethical responsibilities in relation to the field of IT,2015 Adopted,Professional Standards
130.303-c1G,Computer Maintenance,130.303,HS,"demonstrate planning and time-management skills including project management, including initiating, planning, executing, monitoring and controlling, and closing a project",2015 Adopted,Professional Standards
130.303-c2A,Computer Maintenance,130.303,HS,identify job opportunities and accompanying job duties and tasks,2015 Adopted,Employment Opportunities
130.303-c2B,Computer Maintenance,130.303,HS,examine the role of certifications and resumes and portfolios in the IT profession,2015 Adopted,Employment Opportunities
130.303-c3A,Computer Maintenance,130.303,HS,"demonstrate communication skills with individuals from varied cultures such as fellow workers, management, and customers",2015 Adopted,Academic Skills Application
130.303-c3B,Computer Maintenance,130.303,HS,"interpret documentation such as schematics, drawings, charts, diagrams, technical manuals, and bulletins",2015 Adopted,Academic Skills Application
130.303-c4A,Computer Maintenance,130.303,HS,explain the fundamentals of microprocessor theory,2015 Adopted,Computer Hardware Technologies
130.303-c4B,Computer Maintenance,130.303,HS,define the use of Boolean and Binary logic in computer technologies,2015 Adopted,Computer Hardware Technologies
130.303-c4C,Computer Maintenance,130.303,HS,"explain theories of magnetism, electricity, and electronics as related to computer technologies",2015 Adopted,Computer Hardware Technologies
130.303-c4D,Computer Maintenance,130.303,HS,explain proper troubleshooting techniques as related to computer hardware,2015 Adopted,Computer Hardware Technologies
130.303-c4E,Computer Maintenance,130.303,HS,differentiate among digital and analog input and output electronics theory,2015 Adopted,Computer Hardware Technologies
130.303-c4F,Computer Maintenance,130.303,HS,explain the relationships relative to data-communications theory,2015 Adopted,Computer Hardware Technologies
130.303-c4G,Computer Maintenance,130.303,HS,describe the architecture of various computer systems,2015 Adopted,Computer Hardware Technologies
130.303-c4H,Computer Maintenance,130.303,HS,"describe function of computer components such as central processing units, storage devices, and peripheral devices",2015 Adopted,Computer Hardware Technologies
130.303-c4I,Computer Maintenance,130.303,HS,explain computer system environmental requirements and related control devices,2015 Adopted,Computer Hardware Technologies
130.303-c4J,Computer Maintenance,130.303,HS,identify new and emerging technologies that may affect the field of computer technology,2015 Adopted,Computer Hardware Technologies
130.303-c5A,Computer Maintenance,130.303,HS,"identify purpose and function of components including central processing unit, mother board, sockets, chipsets, basic input and output system",2015 Adopted,Major Computer Components
130.303-c5B,Computer Maintenance,130.303,HS,"identify how mobile devices such as personal data assistants and cell phones operate",2015 Adopted,Major Computer Components
130.303-c5C,Computer Maintenance,130.303,HS,"identify how mobile devices such as personal data assistants and cell phones connect and share data",2015 Adopted,Major Computer Components
130.303-c5D,Computer Maintenance,130.303,HS,demonstrate understanding of error messages and symptoms of hardware failures,2015 Adopted,Major Computer Components
130.303-c5E,Computer Maintenance,130.303,HS,research interrupt sequences and beep codes,2015 Adopted,Major Computer Components
130.303-c5F,Computer Maintenance,130.303,HS,identify priorities and interrupts at the system level,2015 Adopted,Major Computer Components
130.303-c6A,Computer Maintenance,130.303,HS,explain the fundamentals of an operating system,2015 Adopted,Operating System Design
130.303-c6B,Computer Maintenance,130.303,HS,compare and contrast different operating systems,2015 Adopted,Operating System Design
130.303-c6C,Computer Maintenance,130.303,HS,identify the operating systems of mobile devices,2015 Adopted,Operating System Design
130.303-c7A,Computer Maintenance,130.303,HS,identify operational features and proper terminology related to computer software systems,2015 Adopted,Software Installation and Configuration
130.303-c7B,Computer Maintenance,130.303,HS,evaluate application software packages,2015 Adopted,Software Installation and Configuration
130.303-c7C,Computer Maintenance,130.303,HS,verify that software is properly licensed prior to installation,2015 Adopted,Software Installation and Configuration
130.303-c7D,Computer Maintenance,130.303,HS,"differentiate between software types including Software as a Service, single-user, per-seat, enterprise, freeware, shareware, and open-source licensing",2015 Adopted,Software Installation and Configuration
130.303-c7E,Computer Maintenance,130.303,HS,explain proper troubleshooting techniques related to computer software,2015 Adopted,Software Installation and Configuration
130.303-c8A,Computer Maintenance,130.303,HS,explain the fundamentals of network connections and interface requirements,2015 Adopted,Network Connections
130.303-c8B,Computer Maintenance,130.303,HS,explain steps required to install and configure a computer on a network,2015 Adopted,Network Connections
130.303-c8C,Computer Maintenance,130.303,HS,identify the steps to troubleshoot network connectivity,2015 Adopted,Network Connections
130.304-c1A,Computer Maintenance Lab,130.304,HS,"demonstrate work behaviors that enhance employability and job advancement such as regular attendance, promptness, attention to proper attire, maintenance of a clean and safe work environment, appropriate voice, and pride in work",2015 Adopted,Professional Standards
130.304-c1B,Computer Maintenance Lab,130.304,HS,"demonstrate positive personal qualities such as flexibility, open mindedness, initiative, listening attentively to speakers, and willingness to learn new skills",2015 Adopted,Professional Standards
130.304-c1C,Computer Maintenance Lab,130.304,HS,employ effective reading and writing skills,2015 Adopted,Professional Standards
130.304-c1D,Computer Maintenance Lab,130.304,HS,employ effective verbal and nonverbal communication skills,2015 Adopted,Professional Standards
130.304-c1E,Computer Maintenance Lab,130.304,HS,solve problems and think critically,2015 Adopted,Professional Standards
130.304-c1F,Computer Maintenance Lab,130.304,HS,demonstrate leadership skills and function effectively as a team member,2015 Adopted,Professional Standards
130.304-c1G,Computer Maintenance Lab,130.304,HS,identify and implement proper safety procedures,2015 Adopted,Professional Standards
130.304-c1H,Computer Maintenance Lab,130.304,HS,demonstrate an understanding of legal and ethical responsibilities in relation to the field of IT,2015 Adopted,Professional Standards
130.304-c1I,Computer Maintenance Lab,130.304,HS,"demonstrate planning and time-management skills such as project management, including initiating, planning, executing, monitoring and controlling, and closing a project",2015 Adopted,Professional Standards
130.304-c2A,Computer Maintenance Lab,130.304,HS,complete work orders for repair and installation,2015 Adopted,Academic Skills Application
130.304-c2B,Computer Maintenance Lab,130.304,HS,"estimate supplies, materials, and labor costs for installation, maintenance, and repair work orders",2015 Adopted,Academic Skills Application
130.304-c2C,Computer Maintenance Lab,130.304,HS,"locate and interpret appropriate documentation such as schematics, drawings, charts, diagrams, technical manuals, and bulletins",2015 Adopted,Academic Skills Application
130.304-c3A,Computer Maintenance Lab,130.304,HS,"demonstrate safe use of equipment in computer technologies such as hand and power tools",2015 Adopted,Tools Equipment and Materials
130.304-c3B,Computer Maintenance Lab,130.304,HS,"employ available reference documentation such as tools, materials, and Internet sources to access information as needed",2015 Adopted,Tools Equipment and Materials
130.304-c3C,Computer Maintenance Lab,130.304,HS,demonstrate proper handling and disposal of environmentally hazardous materials used in computer technologies,2015 Adopted,Tools Equipment and Materials
130.304-c3D,Computer Maintenance Lab,130.304,HS,research new and emerging technologies that may affect the field of computer technology,2015 Adopted,Tools Equipment and Materials
130.304-c4A,Computer Maintenance Lab,130.304,HS,"use electronic test equipment to measure current, voltage, power, and resistance",2015 Adopted,Trade Concepts in Simulated Work
